col1,col2,col3,col4
rater_raceWhite:degree_of_harmExtreme,-0.0248158162139992,-0.0745134226802764,0.0262077001123594
rater_raceBlackDAfricanAmerican:degree_of_harmModerate,-0.00388831585100829,-0.0600510776311563,0.051689629686651
rater_raceLatinXLatinoHispanicorSpanishOrigin:degree_of_harmModerate,-0.0687227022948389,-0.127698695629528,-0.0105809565482301
rater_raceMultiracial:degree_of_harmModerate,-0.0248295934449442,-0.0910893521037295,0.0395989850769156
rater_raceWhite:degree_of_harmModerate,-0.0575508288682884,-0.113069295688266,-0.00453124380622035
sd_item_id_intercept,0.219425433706193,0.202627732589488,0.237264677531711
sd_conversation_id_intercept,0.251707685710598,0.219847565289043,0.290980460288855
Intercept,0.320948057317584,0.107014553736072,0.540538119344368
rater_raceBlackDAfricanAmerican,-0.0402218503314976,-0.329538938089972,0.252246158426027
rater_raceLatinXLatinoHispanicorSpanishOrigin,0.105286955509296,-0.197238029202086,0.407252249596569
rater_raceMultiracial,0.2868762531836,-0.0122269931580805,0.582438676758031
rater_raceWhite,-0.00864362393476086,-0.324214686726,0.317897124821738
rater_genderWoman,0.253920200823396,0.0628619563279744,0.442693566923597
rater_agegenz,-0.00133829766109567,-0.310247832845354,0.305775489012207
rater_agemillenial,0.000441277289514791,-0.220471892032524,0.217923694946663
degree_of_harmDebatable,0.0468657753863091,-0.082368236374822,0.180277514019895
degree_of_harmExtreme,0.0713287293350157,-0.0247218483653066,0.165790733518325
degree_of_harmModerate,0.081201023266448,-0.0186395493348841,0.180096090695417
rater_raceBlackDAfricanAmerican:rater_genderWoman,-0.187611079076576,-0.447783274426014,0.0856385023993002
rater_raceLatinXLatinoHispanicorSpanishOrigin:rater_genderWoman,-0.289553342141541,-0.559981317168143,-0.00320955420074991
rater_raceMultiracial:rater_genderWoman,-0.25699938578896,-0.586859920218778,0.0888851822839709
rater_raceWhite:rater_genderWoman,-0.0656523222549784,-0.339600950190322,0.205211526958355
rater_raceBlackDAfricanAmerican:rater_agegenz,0.129249720071505,-0.26139176583328,0.512024018049457
rater_raceLatinXLatinoHispanicorSpanishOrigin:rater_agegenz,0.0590959862663129,-0.332698114718518,0.469685032725633
rater_raceMultiracial:rater_agegenz,-0.0924812102344447,-0.501110127540372,0.335333983879957
rater_raceWhite:rater_agegenz,-0.110516005921114,-0.4808783355684,0.283785592042306
rater_raceBlackDAfricanAmerican:rater_agemillenial,0.0412630493745242,-0.332937124449302,0.40977988103458
rater_raceLatinXLatinoHispanicorSpanishOrigin:rater_agemillenial,0.00643040519634279,-0.332636627866447,0.360984690378332
rater_raceMultiracial:rater_agemillenial,-0.18566853086846,-0.543575847497011,0.172289945444253
rater_raceWhite:rater_agemillenial,-0.134499032307301,-0.525601177861379,0.261335048052567
rater_raceBlackDAfricanAmerican:degree_of_harmDebatable,-0.0429520904100192,-0.119584798686132,0.0332364801463094
rater_raceLatinXLatinoHispanicorSpanishOrigin:degree_of_harmDebatable,-0.102537572998812,-0.184284159427443,-0.0230174002930392
rater_raceMultiracial:degree_of_harmDebatable,-0.0377469406070574,-0.127312820152355,0.0569476107810937
rater_raceWhite:degree_of_harmDebatable,-0.0764553409888664,-0.152739828509521,0.00468424920144235
rater_raceBlackDAfricanAmerican:degree_of_harmExtreme,-0.0276191580085582,-0.0887746036938461,0.0326043612818317
rater_raceLatinXLatinoHispanicorSpanishOrigin:degree_of_harmExtreme,-0.0482132474008184,-0.11238597918942,0.0196465797832198
rater_raceMultiracial:degree_of_harmExtreme,-0.0368294589031658,-0.10828060296305,0.0371053991173568
rater_raceWhite:degree_of_harmExtreme,-0.0262021974586638,-0.0874208963081777,0.0349155326511413
rater_raceBlackDAfricanAmerican:degree_of_harmModerate,-0.00562438746231125,-0.0655464355080482,0.0532852706023743
rater_raceLatinXLatinoHispanicorSpanishOrigin:degree_of_harmModerate,-0.0702994795453058,-0.136150655845516,-0.00565011259355605
rater_raceMultiracial:degree_of_harmModerate,-0.0270671171199887,-0.0961864615783321,0.0444930888567442
rater_raceWhite:degree_of_harmModerate,-0.0593759536338697,-0.118857264835514,-0.00107067346058143
sd_item_id_intercept,0.220093039032159,0.203950042361692,0.237292912144983
sd_conversation_id_intercept,0.233920272763323,0.200480885108761,0.274257156983987
sd_conversation_id_intercept,0.0257583606994687,0.00140948601262061,0.0603218043183001
sd_conversation_id_intercept,0.0582357913890954,0.0362907209287442,0.0809012880828775
sd_conversation_id_intercept,0.0406100100323656,0.0161752487170212,0.0660014548753435
sd_conversation_id_intercept,0.241396345693682,-0.586001819293863,0.842820463025419
sd_conversation_id_intercept,0.276020077163132,-0.0817842329876399,0.647321051902014
sd_conversation_id_intercept,-0.0587961687516672,-0.792702819175756,0.716745195296267
sd_conversation_id_intercept,0.601975549479615,0.156931088870203,0.922344563208872
sd_conversation_id_intercept,0.30166141595039,-0.570980948178953,0.882575822769341
sd_conversation_id_intercept,0.571261792956162,-0.040971106946833,0.882397630907953
